epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,8229.94,0.68105,0.4956,0.98942,0.9359,0.88048,0.93389,0.82151,0.57121,0.36011,0.87705,2.94644e-05,2.94644e-05,2.94644e-05
40,8439.68,0.725,0.5153,0.99249,0.93325,0.88346,0.9351,0.82193,0.56909,0.35527,0.87524,2.71082e-05,2.71082e-05,2.71082e-05
41,8651.5,0.67476,0.46096,0.96669,0.93134,0.88376,0.93508,0.82218,0.56529,0.34908,0.8725,2.4752e-05,2.4752e-05,2.4752e-05
42,8863.29,0.6776,0.49372,0.96702,0.92888,0.88494,0.9353,0.82289,0.56275,0.34861,0.87075,2.23958e-05,2.23958e-05,2.23958e-05
43,9074.21,0.64466,0.42845,0.93251,0.92431,0.88739,0.93409,0.82091,0.56068,0.34825,0.86983,2.00396e-05,2.00396e-05,2.00396e-05
44,9285.51,0.69084,0.46466,0.94753,0.92409,0.88988,0.93768,0.82088,0.55906,0.34739,0.86905,1.76834e-05,1.76834e-05,1.76834e-05
45,9496.08,0.64852,0.42898,0.92247,0.92596,0.89323,0.93689,0.81984,0.55712,0.34851,0.86814,1.53272e-05,1.53272e-05,1.53272e-05
46,9711.7,0.62799,0.40088,0.92935,0.92683,0.89397,0.93857,0.8227,0.55302,0.34707,0.86568,1.2971e-05,1.2971e-05,1.2971e-05
47,9923.12,0.63428,0.43221,0.95305,0.9294,0.89082,0.93815,0.82153,0.55009,0.34652,0.86374,1.06148e-05,1.06148e-05,1.06148e-05
48,10133,0.63769,0.42626,0.93639,0.93475,0.88992,0.93857,0.82434,0.54775,0.34488,0.86213,8.2586e-06,8.2586e-06,8.2586e-06
49,10345.1,0.65589,0.41442,0.94133,0.93868,0.88932,0.9387,0.82433,0.54618,0.34374,0.86132,5.9024e-06,5.9024e-06,5.9024e-06
50,10556.9,0.63488,0.41568,0.93277,0.94078,0.88816,0.93849,0.82605,0.54526,0.34139,0.86118,3.5462e-06,3.5462e-06,3.5462e-06
